title,url,type_bill,year,period
PL 137-24 TRASTORNO ESPECTRO AUTISTA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3293-proyecto-de-ley-137-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 136-24 PALATAFORMAS DIGITALES TRANSPORTE,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3292-proyecto-de-ley-136-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 135-24 REFORMA AGRARIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3291-proyecto-de-ley-135-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 134-24 TRANSICIÓN ENERGETICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3288-proyecto-de-ley-134-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 133-24,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3287-proyecto-de-ley-133-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 132-24 FORMACION TÉCNICA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3286-proyecto-de-ley-132-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 131-24 SECTOR ELÉCTRICO COLOMBIANO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3285-proyecto-de-ley-131-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 130-24 EMPLEO POBLACIÓN JUVENIL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3284-proyecto-de-ley-130-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 128-24 PROFESIONALIZACIÓN UTL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3283-proyecto-de-ley-128-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 127-24 REFORMA ESTATUTO CONTRATACIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3282-proyecto-de-ley-127-de-2024,Proyecto de ley,2024-2025,2022 - 2026
